cruise_name,Profile_ID,Canister,Station,Latitude,Longitude,depth,date_local,In_water_time_local,In_water_DateTime_UTC,particles_per_L,snow_bin_0_0_to_0_5,snow_bin_gt_0_5_to_1_0,snow_bin_gt_1_0_to_1_5,snow_bin_gt_1_5_to_2_0,snow_bin_gt_2_0_to_2_5,snow_bin_gt_2_5_to_3_0,snow_bin_gt_3_0_to_3_5,snow_bin_gt_3_5_to_4_0,snow_bin_gt_4_0_to_4_5,snow_bin_gt_4_5,phaeo_bin_0_0_to_0_5,phaeo_bin_gt_0_5_to_1_0,phaeo_bin_gt_1_0_to_1_5,phaeo_bin_gt_1_5_to_2_0,phaeo_bin_gt_2_0_to_2_5,phaeo_bin_gt_2_5_to_3_0,phaeo_bin_gt_3_0_to_3_5,phaeo_bin_gt_3_5_to_4_0,phaeo_bin_gt_4_0_to_4_5,phaeo_bin_gt_4_5
IVARS 1-1,G,G,2,-76.987,171.935,94.55,2001-12-20,,,3.46,0.45,2.57,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,95.87,2001-12-20,,,4.24,0.45,2.46,1.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,97.05,2001-12-20,,,2.9,0.56,1.01,0.89,0.22,0.11,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,97.91,2001-12-20,,,4.58,0.22,3.13,0.78,0.45,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,99.55,2001-12-20,,,1.9,0.45,1.01,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,100.98,2001-12-20,,,4.13,0.56,2.12,1.01,0.45,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,101.93,2001-12-20,,,2.23,0.34,1.23,0.56,0.0,0.0,0.0,0.0,0.0,0.11,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,103.46,2001-12-20,,,2.79,0.67,1.56,0.45,0.0,0.0,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,104.51,2001-12-20,,,5.58,0.67,3.46,0.89,0.34,0.11,0.0,0.0,0.11,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,105.97,2001-12-20,,,2.57,0.34,0.89,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,107.61,2001-12-20,,,2.68,0.22,1.79,0.45,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,108.46,2001-12-20,,,2.35,0.56,1.34,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,109.74,2001-12-20,,,2.01,0.34,1.45,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,110.96,2001-12-20,,,1.79,0.34,0.67,0.67,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,112.62,2001-12-20,,,2.01,0.22,1.56,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,113.46,2001-12-20,,,2.9,0.45,1.45,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,114.88,2001-12-20,,,2.57,0.34,1.45,0.56,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,116.38,2001-12-20,,,2.12,0.22,1.45,0.11,0.0,0.34,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,117.63,2001-12-20,,,2.46,0.34,1.45,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,118.94,2001-12-20,,,2.12,0.45,0.78,0.22,0.34,0.34,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,120.13,2001-12-20,,,3.13,0.22,2.01,0.56,0.11,0.22,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,121.53,2001-12-20,,,1.56,0.11,0.78,0.22,0.34,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,122.63,2001-12-20,,,1.34,0.22,0.45,0.45,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,123.97,2001-12-20,,,3.8,0.56,2.35,0.67,0.11,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,125.14,2001-12-20,,,1.45,0.22,0.89,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,126.45,2001-12-20,,,2.12,0.34,1.68,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,127.78,2001-12-20,,,2.23,0.34,1.23,0.56,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,128.99,2001-12-20,,,1.79,0.45,0.45,0.56,0.34,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,130.36,2001-12-20,,,2.35,0.56,1.45,0.0,0.22,0.0,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,131.59,2001-12-20,,,2.46,0.45,1.56,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,133.12,2001-12-20,,,1.56,0.11,0.89,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,134.03,2001-12-20,,,2.57,0.22,1.23,0.45,0.56,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
