* Sea-Bird SBE 25 Data File:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* FileName = C:\Users\Install\data\SAV-17-03\Cast004.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Temperature SN = 2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Conductivity SN = 042868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UpLoad Time = Feb 03 2017 00:00:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Latitude = 31 21.3998 N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Longitude = 080 18.2223 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA UTC (Time) = none,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Store Lat/Lon Data = Append to Every Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Real-Time Sample Interval = 0.2500 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UTC = Feb 03 2017 00:00:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Latitude [deg], Longitude [deg]," Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m]", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta, kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET Labs CDOM [mg/m^3]"," Fluorescence, WET Labs WETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," PAR/Irradiance, Biospherical/Licor"," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2],flag
31.35666,-80.30372,36.0008,18.7162,0.3211,0.864,4.780529,47.805295,4.78E+04,1025.8627,25.859,25.8589,30.1448,34.3364,-0.016,6.3028,1.3895,0.1042,0.1563,0.3101,1.8376,2.8706,1.06E+00,74.165,12.07144,0,0,0.1,0.00E+00
31.35666,-80.30372,35.9986,18.7164,0.337,0.925,4.78028,47.802799,4.78E+04,1025.8612,25.8572,25.8571,30.143,34.3346,0.028,6.3028,1.4784,0.1083,0.1563,0.3101,1.8327,2.8571,1.11E+00,73.998,12.07158,0,0,0.18,0.00E+00
31.35666,-80.30372,35.9943,18.7164,0.293,0.925,4.779773,47.797735,4.78E+04,1025.8579,25.8539,25.8539,30.1398,34.3314,0.053,6.3028,1.2322,0.1125,0.1563,0.3114,1.8303,2.8376,1.18E+00,73.874,12.07191,0,0,0.1,0.00E+00
31.35666,-80.30372,35.9932,18.7162,0.2747,0.864,4.779619,47.796193,4.78E+04,1025.8569,25.8531,25.8531,30.139,34.3306,0.057,6.3028,1.1297,0.1167,0.1563,0.3114,1.8254,2.8327,1.19E+00,73.501,12.07204,0,0,0.02,0.00E+00
31.35666,-80.30372,35.9954,18.716,0.2686,0.864,4.779862,47.798615,4.78E+04,1025.8586,25.8549,25.8548,30.1407,34.3323,0.041,6.3028,1.0955,0.1208,0.1563,0.2686,1.8205,2.8425,1.16E+00,73.073,12.07191,0,0,-0.06,0.00E+00
31.35666,-80.30372,35.9992,18.716,0.2833,0.864,4.780309,47.803093,4.78E+04,1025.8615,25.8578,25.8577,30.1436,34.3352,0.02,6.3028,1.1775,0.125,0.1563,0.2686,1.8156,2.8413,1.16E+00,72.688,12.07161,0,0,-0.08,0.00E+00
31.35666,-80.30372,35.9996,18.7161,0.2845,0.864,4.780375,47.803753,4.78E+04,1025.8618,25.8581,25.858,30.1439,34.3355,-0.004,6.3028,1.1844,0.1292,0.1563,0.2686,1.8095,2.884,1.02E+00,72.247,12.07155,0,0,-0.1,0.00E+00
31.35666,-80.30372,35.9991,18.7163,0.2918,0.925,4.780331,47.803313,4.78E+04,1025.8616,25.8576,25.8576,30.1434,34.335,0.004,6.3028,1.2254,0.1333,0.1563,0.2698,1.8022,2.8413,1.16E+00,71.72,12.07156,0,0,0.03,0.00E+00
31.35666,-80.30372,35.9962,18.7161,0.2833,0.925,4.779972,47.799717,4.78E+04,1025.8595,25.8554,25.8554,30.1413,34.3329,0.008,6.3028,1.1775,0.1375,0.1563,0.2613,1.7961,2.8425,1.16E+00,71.23,12.07182,0,0,0.02,0.00E+00
31.35666,-80.30372,35.993,18.716,0.2662,0.925,4.779575,47.795753,4.78E+04,1025.857,25.853,25.853,30.1388,34.3305,0.008,6.1978,1.0818,0.1417,0.1551,0.2601,1.7924,2.8474,1.14E+00,70.963,12.0721,0,0,1.35E-14,0.00E+00
31.35666,-80.30372,35.993,18.7159,0.265,0.925,4.779575,47.795753,4.78E+04,1025.8571,25.8531,25.853,30.1389,34.3306,0.024,6.4078,1.075,0.1458,0.1575,0.2589,1.7888,2.8608,1.10E+00,70.727,12.07211,0,0,0.06,0.00E+00
31.35666,-80.30372,35.9952,18.7159,0.265,0.985,4.77984,47.798396,4.78E+04,1025.8591,25.8548,25.8547,30.1406,34.3322,0.057,6.4078,1.075,0.15,0.1575,0.2601,1.7863,2.8742,1.05E+00,70.672,12.07194,0,0,0.13,0.00E+00
31.35666,-80.30372,35.9973,18.7155,0.2662,0.985,4.780038,47.800378,4.78E+04,1025.8607,25.8564,25.8564,30.1422,34.3339,0.065,6.3028,1.0818,0.1542,0.1563,0.2662,1.7827,2.8608,1.10E+00,70.574,12.07186,0,0,0.03,0.00E+00
31.35666,-80.30372,35.998,18.716,0.2833,0.985,4.78017,47.801699,4.78E+04,1025.8611,25.8568,25.8568,30.1426,34.3343,0.065,6.4078,1.1775,0.1583,0.1575,0.2735,1.7766,2.8742,1.05E+00,70.307,12.07171,0,0,1.24E-08,0.00E+00
31.35666,-80.30372,35.9981,18.7163,0.265,0.985,4.780221,47.802213,4.78E+04,1025.8612,25.8569,25.8568,30.1427,34.3343,0.057,6.3028,1.075,0.1625,0.1563,0.2735,1.7705,2.9048,9.60E-01,70.016,12.07163,0,0,-0.03,0.00E+00
31.35666,-80.30372,35.9981,18.7164,0.2906,0.925,4.780221,47.802212,4.78E+04,1025.8608,25.8568,25.8568,30.1426,34.3342,0.024,6.3028,1.2186,0.1667,0.1563,0.2735,1.7643,2.8278,1.21E+00,69.675,12.07162,0,0,-0.13,0.00E+00
