* Sea-Bird SBE 25 Data File,,,,,,,,,,,,,,,,,,,,,,,,,,,
* FileName = C,\Users\Install\data\SAV-16-40\cast-04.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,
* Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Temperature SN = 2684,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Conductivity SN = 042868,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UpLoad Time = Dec 07 2016 10,39,56,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Latitude = 31 21.2316 N,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Longitude = 080 20.7145 W,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA UTC (Time) = none,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Store Lat/Lon Data = Append to Every Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Real-Time Sample Interval = 0.2500 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UTC = Dec 07 2016 22,39,56,,,,,,,,,,,,,,,,,,,,,,,,,
 Latitude [deg], Longitude [deg]," Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m]", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta, kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET Labs WETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," PAR/Irradiance, Biospherical/Licor"," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2],flag
31.35386,-80.34526,36.0405,21.2474,0.2454,1.408,5.048986,50.489861,5.05E+04,1025.2245,25.2185,25.2184,29.465,33.6185,0.106,0.9656,0.1375,0.1319,1.9817,1.7253,2.4017,4.38E+00,66.731,11.57462,0,0,0.05,0.00E+00
31.35386,-80.34526,36.0452,21.2472,0.2503,1.408,5.049557,50.495569,5.05E+04,1025.2282,25.2221,25.222,29.4686,33.6221,0.106,0.9929,0.1417,0.1319,1.9109,1.7326,2.4017,4.38E+00,67.77,11.5743,0,0,2.48E-08,0.00E+00
31.35386,-80.34526,36.0632,21.247,0.2247,1.408,5.05178,50.517803,5.05E+04,1025.242,25.2359,25.2358,29.4823,33.6357,0.093,0.8493,0.1458,0.1331,1.9109,1.7387,2.3834,4.63E+00,68.824,11.57302,0,0,-0.05,0.00E+00
31.35386,-80.34526,36.072,21.247,0.21,1.348,5.05287,50.528696,5.05E+04,1025.2484,25.2426,25.2425,29.4889,33.6423,0.053,0.7673,0.15,0.1319,1.9109,1.7485,2.3382,5.31E+00,70.126,11.57238,0,0,-0.16,0.00E+00
31.35386,-80.34526,36.07,21.2469,0.2051,1.348,5.052614,50.526142,5.05E+04,1025.2469,25.2411,25.241,29.4874,33.6408,0.024,0.7399,0.1542,0.1331,1.978,1.757,2.3736,4.77E+00,71.282,11.57253,0,0,-0.11,0.00E+00
31.35386,-80.34526,36.0616,21.2465,0.5678,1.348,5.051525,50.515249,5.05E+04,1025.2406,25.2348,25.2347,29.4812,33.6346,-0.008,2.7707,0.1583,0.1331,2.0464,1.768,2.3504,5.12E+00,72.531,11.57323,0,0,-0.13,0.00E+00
31.35386,-80.34526,36.05,21.2464,0.2686,1.287,5.050068,50.500676,5.05E+04,1025.2315,25.226,25.2259,29.4725,33.6259,-0.041,1.0955,0.1625,0.1331,2.0476,1.7766,2.3785,4.70E+00,73.494,11.57409,0,0,-0.13,0.00E+00
31.35386,-80.34526,36.0398,21.2464,0.3126,1.287,5.048791,50.487908,5.05E+04,1025.2237,25.2182,25.2181,29.4647,33.6183,-0.069,1.3416,0.1667,0.1331,2.0464,1.7814,2.3199,5.61E+00,74.021,11.57485,0,0,-0.11,0.00E+00
31.35386,-80.34526,36.0287,21.246,1.0855,1.287,5.047371,50.473714,5.05E+04,1025.2154,25.2099,25.2098,29.4565,33.6101,-0.073,5.6698,0.1708,0.1331,2.0476,1.7839,2.3284,5.47E+00,74.174,11.57573,0,0,-0.02,0.00E+00
31.35386,-80.34526,36.0176,21.2458,0.3297,1.287,5.045967,50.459672,5.05E+04,1025.207,25.2015,25.2014,29.4481,33.6018,-0.069,1.4374,0.175,0.1331,2.0708,1.7827,2.2967,6.02E+00,73.857,11.57659,0,0,0.02,0.00E+00
