" Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m]", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta, kg/m^3]"," Density [sigma-t, kg/m^3]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET Labs CDOM [mg/m^3]"," Fluorescence, WET Labs WETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2], Latitude [deg], Longitude [deg],flag
35.6745,29.1215,0,1.622,5.840015,58.400155,5.84E+04,1022.5368,22.53,22.5298,26.6762,30.7323,-0.076,0.8713,0.2119,0.0181,0,0.094,0.0647,1.696,55.469,10.29423,0,0,-0.21,31.36454,-80.31896,0.00E+00
35.6733,29.1215,0,1.608,5.839854,58.398537,5.84E+04,1022.5359,22.5291,22.529,26.6753,30.7315,-0.085,0.8713,0.247,0.0187,0,0.094,0.0672,1.6947,55.421,10.2943,0,0,-0.21,31.36454,-80.31896,0.00E+00
35.673,29.1209,0,1.58,5.839744,58.397444,5.84E+04,1022.5358,22.5291,22.529,26.6753,30.7315,-0.095,0.9378,0.247,0.0194,0,0.0952,0.0672,1.696,55.491,10.2944,0,0,-0.24,31.36454,-80.31896,0.00E+00
35.6716,29.1211,0,1.58,5.839556,58.395563,5.84E+04,1022.5346,22.5279,22.5278,26.6741,30.7303,-0.104,0.8713,0.2295,0.0201,0,0.094,0.0659,1.6972,55.562,10.29446,0,0,-0.23,31.36454,-80.31896,0.00E+00
35.6706,29.1208,0,1.559,5.839373,58.393727,5.84E+04,1022.5339,22.5273,22.5272,26.6735,30.7297,-0.114,0.8713,0.247,0.0208,0,0.094,0.0672,1.6984,55.636,10.29458,0,0,-0.24,31.36454,-80.31896,0.00E+00
35.6693,29.1209,0,1.55,5.839198,58.391977,5.84E+04,1022.5328,22.5263,22.5261,26.6725,30.7287,-0.124,0.8713,0.247,0.0215,0,0.094,0.0672,1.6984,55.651,10.29464,0,0,-0.24,31.36454,-80.31896,0.00E+00
35.6678,29.1209,0,1.536,5.838988,58.389878,5.84E+04,1022.5317,22.5252,22.525,26.6714,30.7276,-0.134,0.8713,0.247,0.0222,0,0.094,0.0672,1.6996,55.725,10.29473,0,0,-0.24,31.36454,-80.31896,0.00E+00
35.6664,29.1211,0,1.508,5.838804,58.388042,5.84E+04,1022.5304,22.524,22.5239,26.6703,30.7265,-0.145,0.9378,0.2295,0.0229,0,0.0952,0.0659,1.6996,55.74,10.29478,0,0,-0.27,31.36454,-80.31896,0.00E+00
35.6647,29.1213,0,1.519,5.838577,58.385768,5.84E+04,1022.5291,22.5227,22.5226,26.669,30.7252,-0.155,0.9378,0.247,0.0236,0,0.0952,0.0672,1.7009,55.815,10.29486,0,0,-0.23,31.36454,-80.31896,0.00E+00
35.6631,29.1215,0,1.488,5.838371,58.383713,5.84E+04,1022.5277,22.5215,22.5213,26.6677,30.7239,-0.166,0.9378,0.247,0.0243,0,0.0952,0.0672,1.7009,55.831,10.29493,0,0,-0.26,31.36454,-80.31896,0.00E+00
35.6614,29.1219,0,1.477,5.838157,58.38157,5.84E+04,1022.5263,22.52,22.5199,26.6663,30.7225,-0.176,0.8713,0.247,0.025,0,0.094,0.0672,1.7021,55.906,10.29498,0,0,-0.25,31.36454,-80.31896,0.00E+00
35.6595,29.1219,0,1.453,5.837877,58.378772,5.84E+04,1022.5247,22.5186,22.5185,26.6648,30.7211,-0.188,0.8713,0.2295,0.0257,0,0.094,0.0659,1.7021,55.922,10.2951,0,0,-0.27,31.36454,-80.31896,0.00E+00
35.6579,29.1224,0,1.446,5.837702,58.377023,5.84E+04,1022.5233,22.5172,22.5171,26.6634,30.7197,-0.198,0.8713,0.2119,0.0264,0,0.094,0.0647,1.7033,55.997,10.29512,0,0,-0.25,31.36454,-80.31896,0.00E+00
35.6564,29.1226,0,1.425,5.837506,58.375055,5.84E+04,1022.522,22.516,22.5159,26.6623,30.7185,-0.209,0.8713,0.2295,0.0271,0,0.094,0.0659,1.7033,56.013,10.29518,0,0,-0.26,31.36454,-80.31896,0.00E+00
35.6546,29.1228,0,1.416,5.837269,58.372694,5.84E+04,1022.5206,22.5146,22.5145,26.6609,30.7171,-0.22,0.8713,0.2295,0.0278,0,0.094,0.0659,1.7033,56.027,10.29526,0,0,-0.25,31.36454,-80.31896,0.00E+00
35.6533,29.1226,0,1.402,5.837064,58.370639,5.84E+04,1022.5196,22.5137,22.5136,26.66,30.7163,-0.23,0.8713,0.2119,0.0285,0,0.094,0.0647,1.7045,56.1,10.29537,0,0,-0.25,31.36454,-80.31896,0.00E+00
35.6524,29.1223,0,1.385,5.836885,58.368847,5.84E+04,1022.5189,22.5131,22.513,26.6594,30.7157,-0.24,0.8713,0.2295,0.0292,0,0.094,0.0659,1.7045,56.114,10.29548,0,0,-0.25,31.36454,-80.31896,0.00E+00
35.6511,29.122,0,1.364,5.836675,58.366748,5.84E+04,1022.518,22.5122,22.5121,26.6585,30.7148,-0.251,0.8713,0.2295,0.0299,0,0.094,0.0659,1.7045,56.127,10.2956,0,0,-0.25,31.36454,-80.31898,0.00E+00
35.65,29.1215,0,1.364,5.836456,58.364563,5.84E+04,1022.5173,22.5116,22.5114,26.6579,30.7142,-0.26,0.8713,0.2295,0.0306,0,0.094,0.0659,1.7045,56.138,10.29574,0,0,-0.22,31.36454,-80.31898,0.00E+00
35.6483,29.1219,0,1.343,5.836251,58.362508,5.84E+04,1022.5158,22.5102,22.5101,26.6565,30.7128,-0.269,0.9378,0.247,0.0313,0,0.0952,0.0672,1.7045,56.147,10.29579,0,0,-0.23,31.36454,-80.31898,0.00E+00
35.6468,29.1219,0,1.319,5.836028,58.360278,5.84E+04,1022.5146,22.509,22.5089,26.6554,30.7117,-0.279,0.8713,0.2119,0.0319,0,0.094,0.0647,1.7045,56.154,10.29589,0,0,-0.23,31.36454,-80.31898,0.00E+00
35.6445,29.1217,0,1.312,5.835674,58.356737,5.84E+04,1022.5129,22.5074,22.5073,26.6537,30.71,-0.288,0.8713,0.2295,0.0326,0,0.094,0.0659,1.7045,56.16,10.29606,0,0,-0.21,31.36454,-80.31898,0.00E+00
35.6425,29.1219,0,1.303,5.835411,58.354114,5.84E+04,1022.5113,22.5058,22.5057,26.6522,30.7085,-0.296,0.8713,0.2295,0.0333,0,0.094,0.0659,1.7057,56.224,10.29615,0,0,-0.19,31.36454,-80.31898,0.00E+00
35.6403,29.1221,0,1.282,5.835105,58.351054,5.84E+04,1022.5095,22.5041,22.504,26.6505,30.7068,-0.304,0.8713,0.2295,0.034,0,0.094,0.0659,1.7057,56.23,10.29626,0,0,-0.19,31.36454,-80.31898,0.00E+00
