Latitude [deg],Longitude [deg],"Salinity, Practical [PSU]","Temperature [ITS-90, deg C]",Voltage 0,"Depth [salt water, m]",Conductivity [uS/cm],Conductivity [mS/cm],Conductivity [S/m],"Density [density, kg/m^3]","Density [sigma-theta, kg/m^3]","Density [sigma-t, kg/m^3 ]","Density [sigma-1, kg/m^3 ]","Density [sigma-4, kg/m^3 ]","Depth [salt water, m]",Descent Rate [m/s],"Fluorescence, WET Labs WETstar [mg/m^3]","Fluorescence, WET Labs WETstar, 2 [mg/m^3]","Fluorescence, WET Labs WETstar, Diff, 2 - 1 [mg/m^3]","Time, Elapsed [minutes]",Voltage 1,Voltage 2,Voltage 3,Voltage 4,"PAR/Irradiance, Biospherical/Licor","Oxygen, SBE 43 [% saturation]",Nitrogen Saturation [mg/l],Bottles Fired,Bottle Position in Carousel,Acceleration [m/s^2],flag:  0.000e+00
31.37364,-80.32286,36.06,19.4369,0.1087,1.271,4.86E+04,48.622575,4.862257,1025.7242,25.7186,25.7186,29.9926,42.263,1.271,0.118,0.8572,2.0563,1.1991,0.0833,0.1832,0.1905,1.8584,0.9915,3.34E+02,74.392,11.92196,0,0,0.19,0.00E+00
31.37364,-80.32286,36.0582,19.4372,0.1099,1.374,4.86E+04,48.620801,4.86208,1025.7232,25.7172,25.7171,29.9912,42.2616,1.374,0.153,0.8742,2.0563,1.1821,0.0875,0.1832,0.2015,1.8596,0.9524,3.75E+02,74.677,11.92203,0,0,0.14,0.00E+00
31.37364,-80.32286,36.0546,19.438,0.1099,1.374,4.86E+04,48.617253,4.861725,1025.7202,25.7143,25.7142,29.9883,42.2587,1.374,0.167,0.8742,2.0563,1.1821,0.0917,0.1832,0.2015,1.8571,1.0672,2.67E+02,74.8,11.92216,0,0,0.06,0.00E+00
31.37364,-80.32286,36.0498,19.4374,0.1087,1.374,4.86E+04,48.610969,4.861097,1025.7167,25.7108,25.7107,29.9848,42.2553,1.374,0.16,0.8572,2.0111,1.1539,0.0958,0.1807,0.2015,1.851,1.0855,2.52E+02,74.64,11.92264,0,0,-0.03,0.00E+00
31.37364,-80.32286,36.0461,19.4381,0.1087,1.478,4.86E+04,48.607274,4.860727,1025.7141,25.7077,25.7076,29.9818,42.2523,1.478,0.16,0.8572,1.9885,1.1313,0.1,0.1795,0.1905,1.8449,1.0904,2.49E+02,74.366,11.92278,0,0,3.14E-07,0.00E+00
31.37364,-80.32286,36.0397,19.4381,0.1087,1.478,4.86E+04,48.599587,4.859959,1025.7092,25.7028,25.7027,29.9769,42.2476,1.478,0.167,0.8572,1.9885,1.1313,0.1042,0.1795,0.1893,1.8364,1.0403,2.89E+02,73.81,11.92327,0,0,0.03,0.00E+00
31.37364,-80.32286,36.0414,19.4383,0.1087,1.478,4.86E+04,48.601878,4.860188,1025.7105,25.7041,25.704,29.9782,42.2488,1.478,0.153,0.8572,1.9659,1.1087,0.1083,0.1783,0.1893,1.8303,0.989,3.37E+02,73.331,11.9231,0,0,-0.06,0.00E+00
31.37364,-80.32286,36.0443,19.4385,0.1099,1.478,4.86E+04,48.605574,4.860557,1025.7127,25.7063,25.7062,29.9803,42.2509,1.478,0.118,0.8742,1.9885,1.1143,0.1125,0.1795,0.1905,1.8254,1.0317,2.96E+02,72.914,11.92283,0,0,-0.14,0.00E+00
31.37364,-80.32286,36.0462,19.4386,0.1099,1.374,4.86E+04,48.607865,4.860786,1025.7137,25.7077,25.7076,29.9817,42.2522,1.374,0.069,0.8742,2.0111,1.1369,0.1167,0.1807,0.1844,1.8242,0.9902,3.35E+02,72.827,11.92267,0,0,-0.19,0.00E+00
31.37364,-80.32286,36.0445,19.4397,0.1087,1.374,4.86E+04,48.606977,4.860698,1025.7121,25.7061,25.706,29.9801,42.2506,1.374,0.014,0.8572,2.0111,1.1539,0.1208,0.1807,0.1844,1.8254,1.0366,2.92E+02,72.925,11.92258,0,0,-0.22,0.00E+00
