cruise_name,Profile_ID,Canister,Station,Latitude,Longitude,depth,date_local,In_water_time_local,In_water_DateTime_UTC,particles_per_L,bin_0_0_to_0_5,bin_gt_0_5_to_1_0,bin_gt_1_0_to_1_5,bin_gt_1_5_to_2_0,bin_gt_2_0_to_2_5,bin_gt_2_5_to_3_0,bin_gt_3_0_to_3_5,bin_gt_3_5_to_4_0,bin_gt_4_0_to_4_5,bin_gt_4_5
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,42.62,2004-12-24,05:10:00,2004-12-23T16:10Z,2.58,0.0,0.0,0.0,0.0,0.0,0.37,0.37,1.11,0.37,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,48.93,2004-12-24,05:10:00,2004-12-23T16:10Z,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.74,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,50.33,2004-12-24,05:10:00,2004-12-23T16:10Z,1.47,0.0,0.0,0.74,0.0,0.0,0.0,0.37,0.0,0.37,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,52.1,2004-12-24,05:10:00,2004-12-23T16:10Z,1.11,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,53.44,2004-12-24,05:10:00,2004-12-23T16:10Z,0.74,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,55.13,2004-12-24,05:10:00,2004-12-23T16:10Z,1.47,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.0,0.74
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,56.41,2004-12-24,05:10:00,2004-12-23T16:10Z,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.37,0.0,0.74
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,58.11,2004-12-24,05:10:00,2004-12-23T16:10Z,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.74
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,59.81,2004-12-24,05:10:00,2004-12-23T16:10Z,2.21,0.0,0.0,0.37,0.0,0.74,0.0,0.74,0.37,0.0,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,61.51,2004-12-24,05:10:00,2004-12-23T16:10Z,2.58,0.0,0.0,0.0,0.0,1.11,0.74,0.0,0.37,0.37,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,70.75,2004-12-24,05:10:00,2004-12-23T16:10Z,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,84.21,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,92.03,2004-12-24,05:10:00,2004-12-23T16:10Z,0.74,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,96.56,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,99.86,2004-12-24,05:10:00,2004-12-23T16:10Z,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,101.02,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,105.52,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,118.08,2004-12-24,05:10:00,2004-12-23T16:10Z,1.84,0.0,0.0,0.0,0.37,0.0,1.11,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,119.8,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,121.22,2004-12-24,05:10:00,2004-12-23T16:10Z,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,124.11,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,125.91,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,170.62,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,102.64,2004-12-24,05:10:00,2004-12-23T16:10Z,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,99.42,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,95.98,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,76.78,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,73.46,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,50.8,2004-12-24,05:10:00,2004-12-23T16:10Z,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,47.59,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,44.55,2004-12-24,05:10:00,2004-12-23T16:10Z,2.21,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.0,1.47
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,41.06,2004-12-24,05:10:00,2004-12-23T16:10Z,2.95,0.0,0.74,0.37,1.47,0.37,0.0,0.0,0.0,0.0,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,37.73,2004-12-24,05:10:00,2004-12-23T16:10Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,34.47,2004-12-24,05:10:00,2004-12-23T16:10Z,3.32,0.0,0.0,0.0,0.0,0.74,0.0,0.37,0.0,0.37,1.84
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,31.5,2004-12-24,05:10:00,2004-12-23T16:10Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
